index,Timestamp,Rank,TrendPhrase
14,2014/04/25 07:59:20,10,WWAT
15,2014/04/25 08:08:35,1,Finally Friday
15,2014/04/25 08:08:35,2,#LameOfficeHolidays
15,2014/04/25 08:08:35,3,Cliven Bundy
15,2014/04/25 08:08:35,4,Waffle House
15,2014/04/25 08:08:35,5,#WeAreReadyForTheWWAT
15,2014/04/25 08:08:35,6,#notlovinit
15,2014/04/25 08:08:35,7,#smilejacob
15,2014/04/25 08:08:35,8,New York
15,2014/04/25 08:08:35,9,#2DaysUntilProblem
15,2014/04/25 08:08:35,10,WWAT
16,2014/04/25 08:13:35,1,Finally Friday
16,2014/04/25 08:13:35,2,#misscongeniality
16,2014/04/25 08:13:35,3,Cliven Bundy
16,2014/04/25 08:13:35,4,#3YearsOfBeAlright
16,2014/04/25 08:13:35,5,#WeAreReadyForTheWWAT
16,2014/04/25 08:13:35,6,#NotLovinIt
16,2014/04/25 08:13:35,7,#smilejacob
16,2014/04/25 08:13:35,8,WWAT
16,2014/04/25 08:13:35,9,Penn Relays
16,2014/04/25 08:13:35,10,Waffle House
17,2014/04/25 08:18:36,1,Waffle House
17,2014/04/25 08:18:36,2,#misscongeniality
17,2014/04/25 08:18:36,3,Cliven Bundy
17,2014/04/25 08:18:36,4,#3YearsOfBeAlright
17,2014/04/25 08:18:36,5,Dunkin
17,2014/04/25 08:18:36,6,#WeAreReadyForTheWWAT
17,2014/04/25 08:18:36,7,Finally Friday
17,2014/04/25 08:18:36,8,#smilejacob
17,2014/04/25 08:18:36,9,Taco Bell
17,2014/04/25 08:18:36,10,#2DaysUntilProblem
18,2014/04/25 08:23:36,1,Waffle House
18,2014/04/25 08:23:36,2,#LameOfficeHolidays
18,2014/04/25 08:23:36,3,Dunkin
18,2014/04/25 08:23:36,4,#3YearsOfBeAlright
18,2014/04/25 08:23:36,5,Cliven Bundy
