Timestamp,Rank,TrendPhrase
2014/04/23 11:02:26,9,#Shakespeare450th
2014/04/23 11:02:26,10,#WrigleyField100
2014/04/23 11:07:27,1,Marilyn Monroe
2014/04/23 11:07:27,2,Albert Pujols
2014/04/23 11:07:27,3,My WCW
2014/04/23 11:07:27,4,Happy Administrative Professionals Day
2014/04/23 11:07:27,5,#AdministrativeProfessionalsDay
2014/04/23 11:07:27,6,#MostBeautiful
2014/04/23 11:07:27,7,Amazon Prime
2014/04/23 11:07:27,8,#JackAsk
2014/04/23 11:07:27,9,#Shakespeare450th
2014/04/23 11:07:27,10,#WrigleyField100
2014/04/23 11:12:27,1,Calder Trophy
2014/04/23 11:12:27,2,Tyler Johnson
2014/04/23 11:12:27,3,My WCW
2014/04/23 11:12:27,4,#AdministrativeProfessionalsDay
2014/04/23 11:12:27,5,#MostBeautiful
2014/04/23 11:12:27,6,#HappyBirthdayShakespeare
2014/04/23 11:12:27,7,#JackAsk
2014/04/23 11:12:27,8,Visited a Japanese
2014/04/23 11:12:27,9,Lupita
2014/04/23 11:12:27,10,#Shakespeare450th
2014/04/23 11:17:28,1,Calder Trophy
2014/04/23 11:17:28,2,Tyler Johnson
2014/04/23 11:17:28,3,My WCW
2014/04/23 11:17:28,4,Happy Administrative Professionals Day
2014/04/23 11:17:28,5,#AdministrativeProfessionalsDay
2014/04/23 11:17:28,6,#MostBeautiful
2014/04/23 11:17:28,7,Amazon Prime
2014/04/23 11:17:28,8,#JackAsk
2014/04/23 11:17:28,9,#WrigleyField100
2014/04/23 11:17:28,10,#Shakespeare450th
2014/04/23 11:22:28,1,Calder Trophy
2014/04/23 11:22:28,2,#QNashville
2014/04/23 11:22:28,3,My WCW
2014/04/23 11:22:28,4,Happy Administrative Professionals Day
2014/04/23 11:22:28,5,#AdministrativeProfessionalsDay
2014/04/23 11:22:28,6,#MostBeautiful
2014/04/23 11:22:28,7,Amazon Prime
2014/04/23 11:22:28,8,#JackAsk
2014/04/23 11:22:28,9,Lupita
2014/04/23 11:22:28,10,#Shakespeare450th
2014/04/23 11:27:29,1,Goran Dragic
2014/04/23 11:27:29,2,#QNashville
2014/04/23 11:27:29,3,My WCW
2014/04/23 11:27:29,4,#AdministrativeProfessionalsDay
2014/04/23 11:27:29,5,#MostBeautiful
2014/04/23 11:27:29,6,#HappyBirthdayShakespeare
2014/04/23 11:27:29,7,NBA Most Improved Player
2014/04/23 11:27:29,8,Amazon Prime
2014/04/23 11:27:29,9,Calder
2014/04/23 11:27:29,10,#Shakespeare450th
2014/04/23 11:32:29,1,Goran Dragic
2014/04/23 11:32:29,2,#QNashville
2014/04/23 11:32:29,3,My WCW
2014/04/23 11:32:29,4,#AdministrativeProfessionalsDay
2014/04/23 11:32:29,5,#MostBeautiful
2014/04/23 11:32:29,6,#HappyBirthdayShakespeare
2014/04/23 11:32:29,7,NBA Most Improved Player
2014/04/23 11:32:29,8,Amazon Prime
2014/04/23 11:32:29,9,Calder
2014/04/23 11:32:29,10,#Shakespeare450th
2014/04/23 11:37:30,1,Alex Poythress
2014/04/23 11:37:30,2,Goran Dragic
2014/04/23 11:37:30,3,#AshyLarryBoyBands
2014/04/23 11:37:30,4,My WCW
2014/04/23 11:37:30,5,#AdministrativeProfessionalsDay
2014/04/23 11:37:30,6,#MostBeautiful
2014/04/23 11:37:30,7,#HappyBirthdayShakespeare
2014/04/23 11:37:30,8,NBA Most Improved Player
